Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
2,91772,David Duarte,BAH,Zagueiro,visitante,SAN,4.2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91808,Caíque França,SPT,Goleiro,mandante,PAL,0.6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
2,91866,Zé Ivaldo,SAN,Zagueiro,mandante,BAH,7.2,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,91908,Pavón,GRE,Atacante,visitante,CEA,-0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,92075,Ramón Díaz,COR,Técnico,mandante,VAS,8.620000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,92085,Giovanny,JUV,Atacante,visitante,BOT,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,92087,Lyanco,CAM,Zagueiro,mandante,SAO,3.1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,92440,André Ramalho,COR,Zagueiro,mandante,VAS,6.7,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,92708,Deyverson,FOR,Atacante,visitante,MIR,4.4,0,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,92854,Borré,INT,Atacante,mandante,CRU,7.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,92981,Ronaldo,INT,Meia,mandante,CRU,5.7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,93478,Wanderson,CRU,Atacante,visitante,INT,3.1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,93790,Marlon Freitas,BOT,Meia,mandante,JUV,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,93879,Marcão,JUV,Goleiro,visitante,BOT,3.2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
